Raw Tweets,Clean Tweets,Sentiment
@NHLonNBCSports @Titans @PerkaDerkaDerka Tyler Lewan is a monster,Tyler Lewan is a monster,0.0
"Come on @Titans don't make the same mistake that MTSU, Vandy, and UT did and let @_drediez_  get away. The man has… https://t.co/xpYn3rRIwU",Come on don t make the same mistake that MTSU Vandy and UT did and let drediez get away The man has,0.0
@SNFonNBC @Titan_Sized @Titans #TitanUp gotta luv these guys.,Sized TitanUp gotta luv these guys,0.0
"TitansHeadlines. Marcus Mariota, Titans Fire Up Predators Crowd, - Bleacher Report https://t.co/seobpmR8DL",TitansHeadlines Marcus Mariota Titans Fire Up Predators Crowd Bleacher Report,0.0
This is exactly why I love @TaylorLewan77 and the @Titans OLine sooooo much. They are real! #TitanUp… https://t.co/PxXo7GBGjB,This is exactly why I love and the OLine sooooo much They are real TitanUp,0.2875
The 74th pick of the 2018 #slowdraft is @DionLewisRB RB @Titans... #FantasyFootball,The 74th pick of the 2018 slowdraft is RB FantasyFootball,0.0
Is there anyone from around Nashville on here? Do you know of a website to find farms for rent around Nashville? Or… https://t.co/OaaiqqlgHc,Is there anyone from around Nashville on here Do you know of a website to find farms for rent around Nashville Or,0.0
@NHLonNBCSports @NBCSN @Titans @ItsKyleDawson the bar is at a new level,the bar is at a new level,0.13636363636363635
"The Tennessee Titans with the Twenty Second pick in the 2018 NFL Draft Select, Rashaan Evans.",The Tennessee Titans with the Twenty Second pick in the 2018 NFL Draft Select Rashaan Evans,0.0
@SNFonNBC @Titans Shoutout to Marcus Mariota and the @Titans oline!  His line protects him on the field and he prot… https://t.co/uZptC63JKG,Shoutout to Marcus Mariota and the oline His line protects him on the field and he prot,0.0
@SNFonNBC @WoodDro52 @Titans Marcus looked just a touch out of place.,Marcus looked just a touch out of place,0.0
Quick reminder the @Titans chose not to sign @Kaepernick7 https://t.co/A9qL4VlgRd,Quick reminder the chose not to sign,0.3333333333333333
@that_trap @SNFonNBC @Titans Hahaha. Taylor Lewan,trap Hahaha Taylor Lewan,0.2
"@JayonBrown12 @Titans_TRac @Titans Nice to meet you, thanks for signing! Titan Up!! https://t.co/5Ka4hxbPN9",TRac Nice to meet you thanks for signing Titan Up,0.4
@SNFonNBC @Titans @jmfarmer88,,0.0
"@DianneG No, silence on James Shaw from Nashville's professional community and stars, Predators, Tennessee Titans,… https://t.co/fm6GqyN4gn",No silence on James Shaw from Nashville s professional community and stars Predators Tennessee Titans,0.1
@SNFonNBC @Titans @rtaber25 i fucking love this guy!  What a lunatic!!!,i fucking love this guy What a lunatic,0.5
